lat,lon,counts
40.777563466993584,-73.97842591108906,146
40.955765362782486,-74.07275070409041,148
40.7867655445385,-73.9757341687067,149
40.67373751294118,-73.87086483619008,152
40.655423,-73.960567,155
40.655423,-73.960567,155
40.67367302043024,-73.97013187408447,156
40.750991477566174,-73.98887973002674,157
40.761396839012,-73.97698574930376,158
40.74967910018039,-74.02738094329834,159
40.75937836870708,-73.98923841533589,162
40.80748736858368,-74.21023103,163
40.75694114653262,-73.98298858662089,177
40.72525012516636,-73.97798398581998,181
40.77005170684906,-73.9842167600201,182
40.73438433953743,-74.00242035238995,205
40.7551991489634,-73.9750224863867,208
40.69908885020979,-73.80676279569447,231
40.75909046091092,-73.98201942443848,235
40.75909046091092,-73.98201942443848,235
40.737269,-73.990717,1303
40.75221124575031,-73.98605900539454,1362
40.65078398641498,-73.94958959708242,1435
40.74095989432878,-73.98918102573148,1454
40.76342578401335,-73.97244548564383,1499
40.781558,-73.975792,1519
40.88214078989185,-74.04226479010293,1540
40.7337627,-74.006264,1694
40.76115484470732,-74.00056104833155,1721
40.80807040351138,-73.9457264435875,1918
