lat,lon,geometry
-73.97422244999998,40.788608,POINT (-73.97422244999998 40.788608)
-73.97428784381152,40.78880046739727,POINT (-73.97428784381152 40.78880046739727)
-73.97501674700247,40.78759205697023,POINT (-73.97501674700247 40.78759205697023)
-73.97428784381152,40.78880046739727,POINT (-73.97428784381152 40.78880046739727)
-74.00596618652344,40.71421605600625,POINT (-74.00596618652344 40.71421605600625)
-73.97452399134636,40.78401843692215,POINT (-73.97452399134636 40.78401843692215)
-73.97912610229315,40.78345291250954,POINT (-73.97912610229315 40.78345291250954)
-73.98527275329975,40.73752277959516,POINT (-73.98527275329975 40.73752277959516)
-74.00596618652344,40.71421605600625,POINT (-74.00596618652344 40.71421605600625)
-73.97955080719095,40.78357182642223,POINT (-73.97955080719095 40.78357182642223)
-73.97812172886994,40.783258791664096,POINT (-73.97812172886994 40.783258791664096)
-73.97819995880127,40.783368543265446,POINT (-73.97819995880127 40.783368543265446)
-73.97429358321752,40.78863424103762,POINT (-73.97429358321752 40.78863424103762)
-73.974259275,40.788637113733465,POINT (-73.974259275 40.788637113733465)
-73.97428784381152,40.78880046739727,POINT (-73.97428784381152 40.78880046739727)
-73.97360485327677,40.75276591794084,POINT (-73.97360485327677 40.75276591794084)
-73.97362781098117,40.75304789203106,POINT (-73.97362781098117 40.75304789203106)
-73.97367372638176,40.75285675549502,POINT (-73.97367372638176 40.75285675549502)
-73.98254667184153,40.75279445210956,POINT (-73.98254667184153 40.75279445210956)
-73.97370242350156,40.7526501362743,POINT (-73.97370242350156 40.7526501362743)
-73.97330797224723,40.75274100802376,POINT (-73.97330797224723 40.75274100802376)
-73.973799,40.753825,POINT (-73.973799 40.753825)
-73.96507013702977,40.74890933404696,POINT (-73.96507013702977 40.74890933404696)
-73.97358763499668,40.7527513488484,POINT (-73.97358763499668 40.7527513488484)
-73.97365076868284,40.75320675988191,POINT (-73.97365076868284 40.75320675988191)
-73.97315143805378,40.75322891242016,POINT (-73.97315143805378 40.75322891242016)
-73.97330797224723,40.75274100802376,POINT (-73.97330797224723 40.75274100802376)
-73.97277116775511,40.75294640746336,POINT (-73.97277116775511 40.75294640746336)
-73.97367372638176,40.75285675549502,POINT (-73.97367372638176 40.75285675549502)
-73.9728569984436,40.75297891717686,POINT (-73.9728569984436 40.75297891717686)
-73.97343840983798,40.75312970780387,POINT (-73.97343840983798 40.75312970780387)
-73.97315143805378,40.75322891242016,POINT (-73.97315143805378 40.75322891242016)
-73.97335805778152,40.752508,POINT (-73.97335805778152 40.752508)
-73.97405826743163,40.75232082777209,POINT (-73.97405826743163 40.75232082777209)
-73.97305386754967,40.75275186110882,POINT (-73.97305386754967 40.75275186110882)
-73.98355676127223,40.75322148930987,POINT (-73.98355676127223 40.75322148930987)
-73.97346710699287,40.75307160144737,POINT (-73.97346710699287 40.75307160144737)
-73.97405826743163,40.75232082777209,POINT (-73.97405826743163 40.75232082777209)
