geometry,lat,lon
POINT (-73.98873 40.734958),40.734958,-73.98873
POINT (-73.98003864274011 40.72696058176323),40.72696058176323,-73.98003864274011
POINT (-73.927632 40.865552),40.865552,-73.927632
POINT (-73.956868 40.712726),40.712726,-73.956868
POINT (-73.98347854614258 40.72607169369348),40.72607169369348,-73.98347854614258
POINT (-73.998213 40.745226),40.745226,-73.998213
POINT (-73.98173170945321 40.74079259459379),40.74079259459379,-73.98173170945321
POINT (-73.97786346057033 40.74599531922834),40.74599531922834,-73.97786346057033
POINT (-73.99478217019208 40.7556979911288),40.7556979911288,-73.99478217019208
POINT (-73.94866543216908 40.78157631131011),40.78157631131011,-73.94866543216908
