geometry,lat,lon
POINT (-73.97350072860723 40.7714256153356),40.7714256153356,-73.97350072860723
POINT (-73.97747318781511 40.7565328833092),40.7565328833092,-73.97747318781511
POINT (-73.98873 40.734958),40.734958,-73.98873
POINT (-73.98003864274011 40.72696058176323),40.72696058176323,-73.98003864274011
POINT (-73.96237246820378 40.710042263303),40.710042263303,-73.96237246820378
POINT (-73.956868 40.712726),40.712726,-73.956868
POINT (-73.97102209405129 40.755201415407925),40.755201415407925,-73.97102209405129
POINT (-73.998213 40.745226),40.745226,-73.998213
POINT (-73.99477643139828 40.74400946118607),40.74400946118607,-73.99477643139828
POINT (-73.98173170945321 40.74079259459379),40.74079259459379,-73.98173170945321
POINT (-73.992856 40.73004029),40.73004029,-73.992856
POINT (-73.98682594299316 40.7221525738643),40.7221525738643,-73.98682594299316
POINT (-74.003018 40.723168316666666),40.723168316666666,-74.003018
POINT (-73.97786346057033 40.74599531922834),40.74599531922834,-73.97786346057033
POINT (-74.00637418277145 40.70607312872748),40.70607312872748,-74.00637418277145
POINT (-73.99478217019208 40.7556979911288),40.7556979911288,-73.99478217019208
POINT (-73.94866543216908 40.78157631131011),40.78157631131011,-73.94866543216908
