uid:token,venue_id:token,timestamp:token
1,33236,0
1,791,1
1,1511,2
1,6720,3
1,255,4
1,5321,5
1,7469,6
1,1328,7
1,5041,8
1,4924,9
1,7469,10
1,35766,11
1,962,12
1,1928,13
1,7264,14
1,2642,15
1,33236,16
1,2642,17
1,2642,18
1,2642,19
1,5848,20
1,24553,21
1,2149,22
1,23850,23
1,982,24
1,2521,25
1,1308,26
1,12420,27
1,7948,28
1,30003,29
1,841,30
1,841,31
1,2075,32
1,29743,33
1,816,34
1,2757,35
1,4195,36
1,6266,37
1,21082,38
1,6427,39
1,6788,40
1,690,41
1,680,42
1,1793,43
1,3193,44
1,183,45
1,2166,46
1,22855,47
1,425,48
1,35300,49
1,30964,50
1,1056,51
1,6248,52
1,35612,53
1,2152,54
1,5115,55
1,257,56
1,672,57
1,26195,58
1,4130,59
1,1284,60
1,24553,61
1,24553,62
1,2342,63
1,1240,64
1,6832,65
1,23833,66
1,1284,67
1,6788,68
1,27985,69
1,25697,70
1,2184,71
1,11438,72
1,1874,73
1,24004,74
1,2880,75
1,1328,76
1,538,77
1,1328,78
1,2642,79
1,18142,80
1,2642,81
1,6069,82
1,38048,83
1,24553,84
1,35766,85
1,1328,86
1,524,87
1,1240,88
1,33236,89
1,35766,90
1,1188,91
1,7012,92
1,35766,93
1,2642,94
1,7737,95
1,1240,96
1,7483,97
1,431,98
1,24171,99
2,4047,0
2,13288,1
2,1235,2
2,1613,3
2,10274,4
2,11960,5
2,23704,6
2,29388,7
2,16066,8
2,6919,9
2,8027,10
2,24536,11
2,22681,12
2,1705,13
2,5843,14
2,8027,15
2,12568,16
2,5190,17
2,1285,18
2,21548,19
2,19770,20
2,16830,21
2,33900,22
2,3974,23
2,27403,24
2,9912,25
2,2491,26
2,18273,27
2,3818,28
2,758,29
2,18752,30
2,33161,31
2,24536,32
2,12568,33
2,2360,34
2,5187,35
2,24536,36
2,7010,37
2,13878,38
2,20271,39
2,11714,40
2,10200,41
2,17737,42
2,10274,43
2,12568,44
2,20270,45
2,15798,46
2,13652,47
2,24536,48
2,32007,49
2,20074,50
2,10623,51
2,11554,52
2,3495,53
2,18273,54
2,24536,55
2,24536,56
2,24536,57
2,11883,58
2,1028,59
2,16506,60
2,3921,61
2,8632,62
2,4389,63
2,3921,64
2,10941,65
2,5849,66
2,1354,67
2,28580,68
2,22714,69
2,23359,70
2,8986,71
2,11384,72
2,32918,73
2,5843,74
2,17610,75
2,1028,76
2,3470,77
2,9896,78
2,24536,79
2,12568,80
2,30164,81
2,24536,82
2,22418,83
2,16926,84
2,4105,85
